Date : 2022-05-16 02:16:36
Directory : c:\Users\menka\BaRepo
Total : 105 files,  2700 codes, 143 comments, 495 blanks, all 3338 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\menka\BaRepo\src\app\modules\dashboard.service.ts                                  | TypeScript         |         52 |          0 |          6 |         58 |
| c:\Users\menka\BaRepo\src\app\modules\dashboard\dashboard.component.html                    | HTML               |         42 |          4 |         17 |         63 |
| c:\Users\menka\BaRepo\src\app\modules\dashboard\dashboard.component.scss                    | SCSS               |          8 |          0 |          2 |         10 |
| c:\Users\menka\BaRepo\src\app\modules\dashboard\dashboard.component.spec.ts                 | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\dashboard\dashboard.component.ts                      | TypeScript         |         51 |          0 |         10 |         61 |
| c:\Users\menka\BaRepo\src\app\modules\posts\posts.component.html                            | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\menka\BaRepo\src\app\modules\posts\posts.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BaRepo\src\app\modules\posts\posts.component.spec.ts                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\posts\posts.component.ts                              | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\menka\BaRepo\src\app\modules\register\register.component.html                      | HTML               |         51 |          0 |          0 |         51 |
| c:\Users\menka\BaRepo\src\app\modules\register\register.component.scss                      | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BaRepo\src\app\modules\register\register.component.spec.ts                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\register\register.component.ts                        | TypeScript         |         19 |          0 |         11 |         30 |
| c:\Users\menka\BaRepo\src\app\modules\signin.service.ts                                     | TypeScript         |         54 |          1 |          9 |         64 |
| c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.html                          | HTML               |         97 |          2 |          6 |        105 |
| c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.scss                          | SCSS               |         16 |          0 |          3 |         19 |
| c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.spec.ts                       | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.ts                            | TypeScript         |         75 |          4 |         27 |        106 |
| c:\Users\menka\BaRepo\src\app\modules\taskSheet.model.ts                                    | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.html              | HTML               |         34 |          6 |          7 |         47 |
| c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.scss              | SCSS               |         16 |          0 |          5 |         21 |
| c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.spec.ts           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.ts                | TypeScript         |         71 |          1 |         14 |         86 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.html    | HTML               |         27 |          4 |          8 |         39 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.scss    | SCSS               |         29 |          0 |          3 |         32 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.ts      | TypeScript         |         68 |          8 |         15 |         91 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.html    | HTML               |         28 |          4 |          9 |         41 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.scss    | SCSS               |         28 |          0 |          4 |         32 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.spec.ts | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.ts      | TypeScript         |         60 |          0 |          8 |         68 |
| c:\Users\menka\BaRepo\src\app\modules\teacher.model.ts                                      | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.html        | HTML               |         62 |          0 |         17 |         79 |
| c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.scss        | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.spec.ts     | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\new-work-sheet-form\new-work-sheet-form.component.ts          | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\menka\BaRepo\src\app\shared.service.spec.ts                                        | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\menka\BaRepo\src\app\shared.service.ts                                             | TypeScript         |         75 |          6 |          7 |         88 |
| c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.html                | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.scss                | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.spec.ts             | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\menka\BaRepo\src\app\shared\components\footer\footer.component.ts                  | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.html                | HTML               |         37 |          0 |          5 |         42 |
| c:\Users\menka\BaRepo\src\app\shared\components\header\header.component.scss                | SCSS               |          6 |          0 |          0 |          6 |
