"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\menka\BaRepo\src\app\modules\signin.service.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 1, 9, 64
"c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 97, 2, 6, 105
"c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\modules\signin\signin.component.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 4, 27, 106
"c:\Users\menka\BaRepo\src\app\modules\taskSheet.model.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.html", "HTML", 0, 0, 0, 0, 0, 0, 34, 6, 7, 47
"c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\modules\taskcreation\taskcreation.component.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 1, 14, 86
"c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.html", "HTML", 0, 0, 0, 0, 0, 0, 27, 4, 8, 39
"c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\menka\BaRepo\src\app\modules\tasksheetoverview\tasksheetoverview.component.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 8, 15, 91
"c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.html", "HTML", 0, 0, 0, 0, 0, 0, 28, 4, 9, 41
"c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\menka\BaRepo\src\app\modules\tasksheetspecific\tasksheetspecific.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
